Permutation #,ApacheHVAC File (ASP),Roof Area (m2),External Wall Area (m2),Window Area (m2),Floor Area (m2),Weather File,HDD (Base 18C),CDD (Base 18C),Annual Mean Humidity Ratio (kg/kg),Average Relative Humidity (%),External Wall Construction U Values (W/m2.K),External Window Construction U Values (W/m2.K),Roof Construction U Values (W/m2.K),Actual Infiltration Rate @ 5Pa (L/(s/m2.facade)),EUI (Total) (kWh/m²),EUI (Electricity) (kWh/m²),EUI (Gas) (kWh/m²),Interior lighting (kWh/m²),Space heating (gas) (kWh/m²),Space heating (elec) (kWh/m²),Space cooling (kWh/m²),Pumps (kWh/m²),Fans interior (kWh/m²),Heat Rejection (kWh/m²),DHW heating (gas) (kWh/m²),DHW heating (elec) (kWh/m²),Receptacle equipment (kWh/m²),Elevators escalators (kWh/m²),TEDI
1,4 Electric AHU Heat Electric Cool None Vent CV.asp,1140,2678,394,1175,CAN_AB_Calgary.718770_CWEC.epw,5259,152,0.0039,61.30,0.3563,4.8655,0.1579,0.65,533.22,533.22,0,12.2,0,395.04,0,0,64.79,0,0,41.78,14.49,4.91,395.04
2,4 Electric AHU Heat Electric Cool None Vent CV.asp,1140,2678,394,1175,CAN_AB_Calgary.718770_CWEC.epw,5259,152,0.0039,61.30,0.2687,4.8655,0.1579,0.65,519.59,519.59,0,12.2,0,382.87,0,0,63.35,0,0,41.78,14.49,4.91,382.87
3,4 Electric AHU Heat Electric Cool None Vent CV.asp,1140,2678,394,1175,CAN_AB_Calgary.718770_CWEC.epw,5259,152,0.0039,61.30,0.2024,4.8655,0.1579,0.65,509.21,509.21,0,12.2,0,373.59,0,0,62.24,0,0,41.78,14.49,4.91,373.59
4,4 Electric AHU Heat Electric Cool None Vent CV.asp,1140,2678,394,1175,CAN_AB_Calgary.718770_CWEC.epw,5259,152,0.0039,61.30,0.1835,4.8655,0.1579,0.65,506.1,506.1,0,12.2,0,370.78,0,0,61.93,0,0,41.78,14.49,4.91,370.78
5,4 Electric AHU Heat Electric Cool None Vent CV.asp,1140,2678,394,1175,CAN_AB_Calgary.718770_CWEC.epw,5259,152,0.0039,61.30,0.1572,4.8655,0.1579,0.65,501.93,501.93,0,12.2,0,367.05,0,0,61.49,0,0,41.78,14.49,4.91,367.05
6,4 Electric AHU Heat Electric Cool None Vent CV.asp,1140,2678,394,1175,CAN_AB_Calgary.718770_CWEC.epw,5259,152,0.0039,61.30,0.1236,4.8655,0.1579,0.65,496.7,496.7,0,12.2,0,362.39,0,0,60.93,0,0,41.78,14.49,4.91,362.39
7,4 Electric AHU Heat Electric Cool None Vent CV.asp,1140,2678,394,1175,CAN_AB_Calgary.718770_CWEC.epw,5259,152,0.0039,61.30,0.0932,4.8655,0.1579,0.65,492.09,492.09,0,12.2,0,358.28,0,0,60.42,0,0,41.78,14.49,4.91,358.28
8,4 Electric AHU Heat Electric Cool None Vent CV.asp,1140,2678,394,1175,CAN_AB_Calgary.718770_CWEC.epw,5259,152,0.0039,61.30,0.3563,4.8655,0.1353,0.65,530.83,530.83,0,12.2,0,392.88,0,0,64.56,0,0,41.78,14.49,4.91,392.88
9,4 Electric AHU Heat Electric Cool None Vent CV.asp,1140,2678,394,1175,CAN_AB_Calgary.718770_CWEC.epw,5259,152,0.0039,61.30,0.2687,4.8655,0.1353,0.65,517.38,517.38,0,12.2,0,380.88,0,0,63.11,0,0,41.78,14.49,4.91,380.88
10,4 Electric AHU Heat Electric Cool None Vent CV.asp,1140,2678,394,1175,CAN_AB_Calgary.718770_CWEC.epw,5259,152,0.0039,61.30,0.2024,4.8655,0.1353,0.65,507.1,507.1,0,12.2,0,371.7,0,0,62.01,0,0,41.78,14.49,4.91,371.7
